"","genbank_accession","organism","uid","loc","species_name","processid","lat","lon"
"1","AF294445","Macquarie perch","10880835","CES-712|Australia: Kangaroo River, NSW",NA,NA,NA,NA
"2","AF295046","Macquarie perch","10880851","CES-208|Australia: Cotter River, ACT",NA,NA,NA,NA
"3","AH013012","Macquarie perch","1032518910","W1",NA,NA,NA,NA
"4","AY254554","Macquarie perch","32454690","M.austW1",NA,NA,NA,NA
"5","EU527921","Macquarie perch","188523989","1",NA,NA,NA,NA
"6","EU527922","Macquarie perch","188523990","2",NA,NA,NA,NA
"7","EU527923","Macquarie perch","188523991","3",NA,NA,NA,NA
"8","EU527924","Macquarie perch","188523992","4",NA,NA,NA,NA
"9","EU527925","Macquarie perch","188523993","5",NA,NA,NA,NA
"10","EU527926","Macquarie perch","188523994","6",NA,NA,NA,NA
"11","EU527927","Macquarie perch","188523995","7",NA,NA,NA,NA
"12","EU527928","Macquarie perch","188523996","8",NA,NA,NA,NA
"13","EU527929","Macquarie perch","188523997","9",NA,NA,NA,NA
"14","EU527930","Macquarie perch","188523998","10",NA,NA,NA,NA
"15","EU527931","Macquarie perch","188523999","11",NA,NA,NA,NA
"16","EU527932","Macquarie perch","188524000","12",NA,NA,NA,NA
"17","EU527933","Macquarie perch","188524001","13",NA,NA,NA,NA
"18","EU527934","Macquarie perch","188524002","14",NA,NA,NA,NA
"19","EU527935","Macquarie perch","188524003","15",NA,NA,NA,NA
"20","EU527936","Macquarie perch","188524004","16",NA,NA,NA,NA
"21","EU527937","Macquarie perch","188524005","17",NA,NA,NA,NA
"22","EU527938","Macquarie perch","188524006","18",NA,NA,NA,NA
"23","EU527939","Macquarie perch","188524007","19",NA,NA,NA,NA
"24","EU527940","Macquarie perch","188524008","20",NA,NA,NA,NA
"25","EU527941","Macquarie perch","188524009","21",NA,NA,NA,NA
"26","EU527942","Macquarie perch","188524010","22",NA,NA,NA,NA
"27","EU527943","Macquarie perch","188524011","23",NA,NA,NA,NA
"28","EU527944","Macquarie perch","188524012","24",NA,NA,NA,NA
"29","EU527945","Macquarie perch","188524013","25",NA,NA,NA,NA
"30","EU527946","Macquarie perch","188524014","26",NA,NA,NA,NA
"31","EU527947","Macquarie perch","188524015","27",NA,NA,NA,NA
"32","EU527948","Macquarie perch","188524016","28",NA,NA,NA,NA
"33","EU527949","Macquarie perch","188524017","29",NA,NA,NA,NA
"34","EU527950","Macquarie perch","188524018","30",NA,NA,NA,NA
"35","EU527951","Macquarie perch","188524019","31",NA,NA,NA,NA
"36","EU527952","Macquarie perch","188524020","32",NA,NA,NA,NA
"37","EU527953","Macquarie perch","188524021","33",NA,NA,NA,NA
"38","EU527954","Macquarie perch","188524022","34",NA,NA,NA,NA
"39","EU527955","Macquarie perch","188524023","35",NA,NA,NA,NA
"40","EU527956","Macquarie perch","188524024","36",NA,NA,NA,NA
"41","EU527957","Macquarie perch","188524025","37",NA,NA,NA,NA
"42","EU527958","Macquarie perch","188524026","38",NA,NA,NA,NA
"43","EU527959","Macquarie perch","188524027","39",NA,NA,NA,NA
